"Name","Description","Link","Thumb","Tags","Featured"
"Parable of the Polygons","an interactive story about how we divide ourselves, from the bottom up","http://ncase.me/polygons/","polygons.png","social",""
"District","a puzzle game about gerrymandering & proportional representation","http://polytrope.com/district/","district.png","civics","yes"
"Virus: The Beauty of the Beast","an interactive documentary on the mathematical majesty of viruses","http://viruspatterns.com/","virus.png","biology","yes"
"Learning Music","an interactive tour to making music","https://learningmusic.ableton.com/","learning_music.png","art","yes"
"dat.gui","a tool for making interactives","https://workshop.chromeexperiments.com/examples/gui/#1--Basic-Usage","datgui.png","tools",""
"The Evolution of Trust","a game about the game theory of social trust & cooperation","http://ncase.me/trust/","trust.png","social","yes"
"The New Science of Sentencing","algorithms that (try to) predict crime","https://www.themarshallproject.org/2015/08/04/the-new-science-of-sentencing","sentencing.png","journalism",""
"Idyll","a markup language for making interactive documents on the web","https://idyll-lang.github.io/editor/","idyll.png","tools",""
"Earth: A Primer","an interactive textbook on earth science, for iPad","http://www.earthprimer.com/","earth.png","earth","yes"
"Introduction to A*","how to program pathfinding for your game","http://www.redblobgames.com/pathfinding/a-star/introduction.html","rbg-a-star.png","programming","yes"
"2D Visibility","how to create 2D light effects for your game","http://www.redblobgames.com/articles/visibility/","rbg-2d.png","programming",""
"Seeing Circles, Sines, and Signals","a compact primer on digital signal processing","https://jackschaedler.github.io/circles-sines-signals/","circles.png","math","yes"
"Invitation to Another Dimension","a playful guide to multi-dimensional linear equations","https://maxgoldste.in/invitation-to-another-dimension/","dimension.png","math",""
"Tangle","explorable explanations made easy","http://worrydream.com/Tangle/","tangle.png","tools",""
"Apparatus","a graphics editor & programming environment for interactive diagrams","http://aprt.us/","apparatus.png","tools",""
"Emoji Simulator","make cellular automata simulations, in emoji","http://ncase.me/simulating/model/","emoji.png","tools",""
"LOOPY","a tool for thinking in systems","http://ncase.me/loopy/","loopy.png","tools",""
"Fireflies","a small, serene simulation of self-synchronization","http://ncase.me/fireflies/","fireflies.png","biology",""
"Neurotic Neurons","an interactive animation about neurons & anxiety ","http://ncase.me/neurons/","neurons.png","psychology",""
"To Build A Better Ballot","an interactive guide to alternative voting systems","http://ncase.me/ballot/","ballot.png","civics",""
"Sight & Light","how to create 2D visibility/shadows for your game","http://ncase.me/sight-and-light/","sight_and_light.png","programming",""
"The Magnificent 2D Matrix","how 2D matrices work","http://ncase.me/matrix/","matrix.png","math",""
"Explorable Explanations: Design Patterns","common design patterns for explorables","http://blog.ncase.me/explorable-explanations/","design_patterns.png","tutorials",""
"I Do And I Understand","a guide to making educational games","http://blog.ncase.me/i-do-and-i-understand/","idaiu.png","tutorials",""
"Media For Thinking The Unthinkable","an hour-long talk on tools that re-define how we think","http://worrydream.com/MediaForThinkingTheUnthinkable/","unthinkable.png","reading","yes"
"Explorable Explanations","the 2011 essay that coined the phrase ""Explorable Explanation""","http://worrydream.com/ExplorableExplanations/","explorables.png","reading","yes"
"Mindstorms","the classic 1980 book","https://mindstorms.media.mit.edu/","mindstorms.png","reading","yes"
"Exploring Emergence","one of the earliest explorable explanations, from 1996","http://www.playfulinvention.com/emergence/","emergence.png","meta",""
"Mathigon","a collection of mathematics interactives","http://world.mathigon.org/","mathigon.png","math","yes"
"SineRider","a game of numerical sledding","http://sineridergame.com/","sinerider.png","math","yes"
"Up & Down the Ladder of Abstraction","a systemic guide to interactive visualization","http://worrydream.com/LadderOfAbstraction/","abstraction.png","meta","yes"
"Scientific Communication As Sequential Art","a classic science paper, redesigned with interactive graphics","http://worrydream.com/ScientificCommunicationAsSequentialArt/","sci_com.png","meta",""
"What Can Technologists Do About Climate Change?","how software can help fight climate change","http://worrydream.com/ClimateChange/","climate_change.png","earth","yes"
"LightNote","a playful introduction to music theory","https://www.lightnote.co/","lightnote.png","art","yes"
"Kill Math","using interactive media to make math more human-friendly","http://worrydream.com/KillMath/","kill_math.png","math",""
"Pink Trombone","a horrifying toy that shows how we vocalize","https://dood.al/pinktrombone/","pink_trombone.png","misc",""
"A Neural Network Playground","tinker with a neural network right in your browser","http://playground.tensorflow.org/","tensorflow.png","programming",""
"Distill.pub","an open-source journal for machine learning","https://distill.pub/","distill.png","programming","yes"
"Seeing Theory","a visual introduction to probability and stats ","http://students.brown.edu/seeing-theory/","seeing_theory.png","math","yes"
"Emergent Mind","a gallery of simulations, showing emergence in life","http://www.emergentmind.com/","emergent_mind.png","biology",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
